Name,Address,Latitudes,Longitudes,Opening hours,Price Range,Cuisine,University,Closest TTC Stops,Phone Number,Region
Not Just Greens,"1 King’s College Circle, Toronto, ON M5S 1A8",43.66088773,-79.39372385,Mon-Fri 11am-5pm,,"HEALTH, SALADS, PITA",University Of Toronto,Queen's Park Station,,Toronto and East York
Ramen Ya! | MSB,"1 King’s College Circle, Toronto, ON M5S 1A8",43.66088773,-79.39372385,Mon-Fri 11am-5pm,,FRESH RAMEN,University Of Toronto,Queen's Park Station,,Toronto and East York
Ramen Ya!,"Sidney Smith Hall, 100 St. George St lower level, Toronto, ON M5S 3G3",43.6621341,-79.39838051,"Mon-Thur: 11am-6pm 
Fri 11am - 5pm",,FRESH RAMEN,University Of Toronto,Spadina Station,,Toronto and East York
Pasta Pappardelle | Robarts,"130 St. George St, Toronto, ON M5S 3H1",43.66441974,-79.39933862,Mon - Fri 11am - 6 pm,,AUTHENTIC ITALIAN PASTA,University Of Toronto,St. George Station,,Toronto and East York
So Sushi,"1 King’s College Circle, Toronto, ON M5S 1A8",43.66088773,-79.39372385,Mon- Fri 11am - 5 pm,,SUSHI,University Of Toronto,Queen's Park Station,,Toronto and East York
Stone Oven Pizzeria | MSB,"1 King’s College Circle, Toronto, ON M5S 1A8",43.66088773,-79.39372385,Mon-Fri 11am-5pm,,"PIZZA, CALZONES",University Of Toronto,Queen's Park Station,,Toronto and East York
Stone Oven Pizzeria | Robarts,"130 St. George St, Toronto, ON M5S 3H1",43.66441974,-79.39933862,Mon-Fri 11am-6pm,,"PIZZA, CALZONES",University Of Toronto,St. George Station,,Toronto and East York
Tortillas | Robarts,"130 St. George St, Toronto, ON M5S 3H1",43.66441974,-79.39933862,"Mon - Fri 11am - 8pm 
Sat-Sun 11am - 5pm",,"BURRITOS, BURRITO BOWLS, TACO SALADS",University Of Toronto,St. George Station,,Toronto and East York
Za’atar | MSB,"1 King’s College Circle, Toronto, ON M5S 1A8",43.66088773,-79.39372385,Mon-Fri 11am-5pm,,Middle Eastern,University Of Toronto,Queen's Park Station,,Toronto and East York
Grab ‘N’ Go | MSB,"1 King’s College Circle, Toronto, ON M5S 1A8",43.66088773,-79.39372385,Mon-Fri 11am-5pm,,"COFFEE, TEA, FRUIT, SNACKS",University Of Toronto,Queen's Park Station,,Toronto and East York
